City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
542,hurghada,27.2574,33.8129,142.87222222222223,33,0,0.0,EG,1681447737
543,garbolovo,60.3413,30.4955,133.04444444444445,79,100,4.86,RU,1681447937
544,sainte-suzanne,-20.9061,55.6089,150.13888888888889,75,20,1.03,RE,1681447938
545,ola,59.5833,151.2833,132.78333333333333,60,100,10.15,RU,1681447938
546,straumen,63.8709,11.2999,137.30555555555554,67,100,8.5,NO,1681447939
547,serenje,-13.2325,30.2352,143.54444444444445,92,98,1.74,ZM,1681447939
548,mogadishu,2.0371,45.3438,149.48888888888888,78,20,2.06,SO,1681447940
549,yumen,40.2833,97.2,142.21666666666667,19,24,13.11,CN,1681447940
550,nanyuki,0.0167,37.0728,142.61111111111111,83,100,1.3,KE,1681447940
551,gillette,44.2911,-105.5022,135.52222222222224,76,100,7.15,US,1681447941
552,adrar,20.5022,-10.0711,148.26666666666668,35,73,2.88,MR,1681447941
553,talaya,61.3833,152.75,129.65555555555557,73,64,1.4,RU,1681447942
554,saint anthony,45.0205,-93.218,146.1611111111111,33,0,5.14,US,1681447942
555,maralal,1.0968,36.698,143.02222222222224,82,100,3.03,KE,1681447943
556,cabedelo,-6.9811,-34.8339,147.51111111111112,81,97,3.71,BR,1681447943
557,evensk,61.95,159.2333,131.20000000000002,59,4,8.59,RU,1681447943
558,rehoboth,-23.3167,17.0833,140.74444444444444,19,7,2.32,NA,1681447944
559,pleasanton,37.6624,-121.8747,140.08333333333331,76,0,2.24,US,1681447875
560,guarenas,10.4674,-66.6066,147.44444444444443,96,82,0.71,VE,1681447946
561,sampit,-2.5333,112.95,153.2888888888889,44,95,1.95,ID,1681447946
562,berdigestyakh,62.0989,126.6992,133.51111111111112,83,63,2.4,RU,1681447947
563,muravlenko,63.7898,74.523,125.16666666666669,86,28,8.39,RU,1681447948
564,sao gabriel da cachoeira,-0.1303,-67.0892,146.6,97,96,0.32,BR,1681447948
565,morden,49.1919,-98.1014,136.15,81,100,4.63,CA,1681447701
566,lima,-12.0432,-77.0282,147.52222222222224,81,20,5.66,PE,1681447950
567,kabare,-2.4683,28.8242,143.4,94,100,0.66,CD,1681447951
568,gusevskiy,55.662,40.5627,133.97222222222223,54,91,6.63,RU,1681447952
569,poum,-20.2333,164.0167,147.56666666666666,90,100,4.67,NC,1681447952
570,sayan,-11.1361,-77.1933,146.25,84,97,1.01,PE,1681447952
571,pitimbu,-7.4706,-34.8086,147.4888888888889,78,100,3.71,BR,1681447953
572,emerald,-23.5333,148.1667,150.43333333333334,23,8,2.17,AU,1681447953
573,alugan,12.2188,125.4808,150.24444444444444,68,55,4.51,PH,1681447953
